_id,neighborhood_municipality,bivalent_booster
15418,Chartiers City (Pittsburgh),90
15419,Coraopolis,919
15420,Blawnox,316
15421,Bradford Woods,326
15422,North Fayette,2044
15423,Garfield (Pittsburgh),747
15424,Robinson,3103
15425,Forward,246
15426,Harrison,1742
15427,Sharpsburg,538
15428,Pine,3024
15429,Elizabeth Township,2163
15430,Polish Hill (Pittsburgh),295
15431,New Homestead (Pittsburgh),177
15432,Rankin,175
15433,Terrace Village (Pittsburgh),234
15434,Fairywood (Pittsburgh),163
15435,North Shore (Pittsburgh),61
15436,Fawn,290
15437,Mount Lebanon,10902
15438,Kennedy,1828
15439,East Liberty (Pittsburgh),1207
15440,Scott,3864
15441,Braddock Hills,363
15442,East Mckeesport,353
15443,Squirrel Hill South (Pittsburgh),5347
15444,Mt. Oliver (Pittsburgh),80
15445,Allentown (Pittsburgh),301
15446,Point Breeze (Pittsburgh),2458
15447,West Oakland (Pittsburgh),217
15448,White Oak,1490
15449,Lincoln Place (Pittsburgh),534
15450,Whitehall,3464
15451,Duquesne Heights (Pittsburgh),509
15452,North Braddock,563
15453,Stanton Heights (Pittsburgh),1318
15454,Liberty,370
15455,McKeesport,2151
15456,Hampton,4791
15457,Swissvale,1872
15458,Chateau (Pittsburgh),12
15459,Aspinwall,913
15460,Carrick (Pittsburgh),1405
15461,Marshall,1656
15462,Central Business District (Pittsburgh),902
15463,Spring Garden (Pittsburgh),135
15464,Troy Hill (Pittsburgh),552
15465,Duquesne,530
15466,Forest Hills,1953
15467,St. Clair (Pittsburgh),25
15468,Fineview (Pittsburgh),172
15469,Cheswick,438
15470,Dravosburg,256
15471,East Deer,247
15472,Green Tree,1203
15473,Avalon,921
15474,Bridgeville,854
15475,Glen Osborne,164
15476,Aleppo,384
15477,Etna,592
15478,Castle Shannon,1656
15479,Jefferson Hills,1994
15480,West Mifflin,3419
15481,Mount Oliver Borough,388
15482,Mcdonald,0
15483,Point Breeze North (Pittsburgh),587
15484,Wilkins,1484
15485,Bedford Dwellings (Pittsburgh),128
15486,Allegheny Center (Pittsburgh),244
15487,Oakmont,2020
15488,Brighton Heights (Pittsburgh),1440
15489,Perry South (Pittsburgh),612
15490,Findlay,998
15491,Oakdale,250
15492,Westwood (Pittsburgh),619
15493,Sewickley Heights,244
15494,Beltzhoover (Pittsburgh),221
15495,Port Vue,491
15496,Kilbuck,201
15497,Thornburg,136
15498,South Versailles,45
15499,Esplen (Pittsburgh),30
15500,West End (Pittsburgh),38
15501,Strip District (Pittsburgh),445
15502,Mckees rocks,639
15503,Arlington Heights (Pittsburgh),35
15504,West View,1296
15505,Fox Chapel,2006
15506,East Hills (Pittsburgh),346
15507,Windgap (Pittsburgh),263
15508,Reserve,745
15509,Greenfield (Pittsburgh),1963
15510,Verona,460
15511,Heidelberg,198
15512,Squirrel Hill North (Pittsburgh),3244
15513,Undefined (Pittsburgh),14
15514,Swisshelm Park (Pittsburgh),422
15515,Edgewood,1206
15516,Trafford,2
15517,Baldwin Borough,4233
15518,Munhall,1919
15519,Churchill,1061
15520,Dormont,1827
15521,Rosslyn Farms,126
15522,Elizabeth Borough,194
15523,California-Kirkbride (Pittsburgh),104
15524,Glen Hazel (Pittsburgh),169
15525,Southside Slopes (Pittsburgh),635
15526,Friendship (Pittsburgh),437
15527,Spring Hill-City View (Pittsburgh),451
15528,Arlington (Pittsburgh),197
15529,Frazer,162
15530,Marshall-Shadeland (Pittsburgh),538
15531,Perry North (Pittsburgh),763
15532,North Oakland (Pittsburgh),1346
15533,Richland,2564
15534,Wilmerding,218
15535,Larimer (Pittsburgh),199
15536,Sewickley Hills,189
